0,1,2,0.04,0.09
1,1,1,0.08,0.15
2,1,1,0.07,0.03
3,1,2,0.04,0.06
4,1,2,0.04,0.06
5,1,2,0.04,0.12
6,1,2,0.04,0.09
7,1,2,0.04,0.09
8,1,1,0.1,0.03
9,1,1,0.1,0.03
10,1,2,0.04,0.06
11,1,2,0.04,0.06
12,1,1,0.07,0.03
13,1,1,0.1,0.03
14,1,1,0.1,0.03
15,1,1,0.06,0.03
16,1,1,0.08,0.03
17,1,1,0.08,0.03
18,1,1,0.06,0.03
19,1,1,0.07,0.03
20,1,1,0.12,0.15
21,1,1,0.08,0.03
22,1,1,0.09,0.03
23,1,1,0.06,0.03
24,1,1,0.09,0.03
25,1,1,0.08,0.03
26,1,1,0.12,0.03
27,1,1,0.08,0.03
28,1,1,0.07,0.03
29,1,1,0.06,0.03
30,1,1,0.1,0.03
31,1,1,0.11,0.03
32,1,1,0.15,0.15
33,1,1,0.09,0.03
34,1,2,0.04,0.12
35,1,1,0.07,0.03
36,1,1,0.07,0.03
37,1,2,0.04,0.06
38,1,2,0.03,0.06
39,1,1,0.07,0.03
40,1,2,0.03,0.06
41,1,2,0.04,0.09
42,1,2,0.04,0.12
43,1,2,0.04,0.18
44,1,2,0.04,0.09
45,1,2,0.05,0.15
46,1,1,0.09,0.03
47,1,2,0.04,0.06
48,1,2,0.04,0.06
49,1,2,0.04,0.09
50,1,2,0.04,0.15
51,1,2,0.04,0.06
52,1,1,0.08,0.03
53,1,2,0.04,0.09
54,1,1,0.1,0.03
55,1,1,0.08,0.03
56,1,2,0.04,0.06
57,1,2,0.04,0.06
58,1,2,0.04,0.06
59,1,2,0.03,0.06
60,1,2,0.04,0.06
61,1,2,0.05,0.15
62,1,2,0.04,0.06
63,1,2,0.03,0.06
64,1,1,0.07,0.03
65,1,2,0.04,0.09
66,1,2,0.04,0.06
67,1,2,0.03,0.06
68,1,2,0.03,0.06
69,1,2,0.04,0.12
70,1,2,0.04,0.06
71,1,2,0.04,0.18
72,1,2,0.04,0.06
73,1,1,0.07,0.03
74,1,2,0.04,0.06
75,1,2,0.04,0.06
76,1,2,0.04,0.12
77,1,2,0.03,0.06
78,1,2,0.04,0.09
79,1,2,0.04,0.09
80,1,1,0.08,0.03
81,1,1,0.12,0.03
82,1,1,0.1,0.03
83,1,1,0.14,0.03
84,1,1,0.21,0.03
