0,1,2,0.05,0.15
1,1,2,0.05,0.06
2,1,1,0.3,0.03
3,1,1,0.3,0.03
4,1,2,0.28,0.12
5,1,2,0.29,0.03
6,1,2,0.28,0.12
7,1,1,0.28,0.03
8,1,1,0.28,0.03
9,1,2,0.28,0.03
10,1,1,0.3,0.09
11,1,1,0.29,0.03
12,1,2,0.28,0.06
13,1,1,0.28,0.03
14,1,1,0.28,0.12
15,1,1,0.3,0.03
16,1,1,0.3,0.15
17,1,1,0.29,0.03
18,1,1,0.29,0.03
19,1,1,0.28,0.06
20,1,1,0.29,0.03
21,1,1,0.3,0.03
22,1,1,0.29,0.06
23,1,1,0.28,0.03
24,1,2,0.27,0.03
25,1,1,0.28,0.03
26,1,1,0.3,0.03
27,1,1,0.28,0.03
28,1,1,0.28,0.03
29,1,1,0.29,0.03
30,1,1,0.29,0.06
31,1,1,0.29,0.12
32,1,1,0.28,0.03
33,1,1,0.29,0.12
34,1,1,0.29,0.03
35,1,1,0.29,0.03
36,1,1,0.28,0.06
37,1,1,0.28,0.06
38,1,1,0.29,0.03
39,1,2,0.28,0.06
40,1,1,0.29,0.03
41,1,1,0.29,0.06
42,1,1,0.29,0.06
43,1,1,0.28,0.03
44,1,2,0.3,0.03
45,1,1,0.28,0.06
46,1,1,0.29,0.15
47,1,1,0.28,0.03
48,1,1,0.28,0.03
49,1,1,0.28,0.03
50,1,1,0.28,0.03
51,1,2,0.29,0.06
52,1,2,0.28,0.06
53,1,2,0.29,0.06
54,1,2,0.06,0.06
55,1,1,0.29,0.03
56,1,1,0.29,0.03
57,1,1,0.29,0.03
58,1,2,0.28,0.03
59,1,2,0.29,0.06
60,1,1,0.29,0.09
61,1,1,0.29,0.03
62,1,2,0.29,0.06
63,1,1,0.29,0.03
64,1,1,0.29,0.03
65,1,2,0.3,0.06
66,1,1,0.29,0.03
67,1,1,0.3,0.03
68,1,2,0.29,0.03
69,1,1,0.29,0.03
70,1,2,0.28,0.03
71,1,1,0.29,0.03
72,1,1,0.28,0.03
73,1,1,0.28,0.03
74,1,1,0.29,0.03
75,1,1,0.28,0.06
76,1,1,0.29,0.03
77,1,1,0.29,0.12
78,1,1,0.29,0.03
79,1,2,0.28,0.03
80,1,1,0.29,0.12
81,1,1,0.29,0.06
82,1,1,0.29,0.09
83,1,2,0.26,0.03
84,1,1,0.29,0.12
85,1,1,0.29,0.03
86,1,1,0.3,0.06
87,1,1,0.29,0.06
88,1,1,0.3,0.03
89,1,1,0.29,0.03
90,1,1,0.29,0.03
91,1,1,0.3,0.06
92,1,1,0.29,0.12
93,1,1,0.28,0.03
94,1,1,0.27,0.03
95,1,1,0.28,0.06
96,1,1,0.28,0.03
97,1,1,0.28,0.03
98,1,1,0.28,0.03
99,1,2,0.28,0.06
100,1,1,0.28,0.03
101,1,2,0.28,0.03
102,1,1,0.29,0.03
103,1,1,0.3,0.06
104,1,1,0.29,0.03
105,1,1,0.3,0.03
106,1,1,0.28,0.03
107,1,1,0.29,0.03
108,1,2,0.28,0.09
109,1,1,0.29,0.03
110,1,1,0.29,0.06
111,1,1,0.3,0.12
112,1,1,0.3,0.06
113,1,1,0.29,0.03
114,1,1,0.3,0.03
115,1,1,0.29,0.03
116,1,1,0.28,0.03
117,1,1,0.28,0.03
118,1,2,0.27,0.12
119,1,1,0.3,0.03
120,1,1,0.29,0.06
121,1,1,0.3,0.09
122,1,1,0.29,0.06
123,1,1,0.28,0.06
124,1,1,0.29,0.03
125,1,1,0.29,0.03
126,1,1,0.28,0.03
127,1,1,0.28,0.03
128,1,2,0.28,0.03
129,1,2,0.28,0.03
130,1,1,0.28,0.03
131,1,1,0.3,0.06
132,1,1,0.28,0.03
133,1,2,0.28,0.12
134,1,1,0.29,0.03
135,1,1,0.3,0.09
136,1,1,0.29,0.03
137,1,1,0.28,0.03
138,1,1,0.28,0.03
139,1,1,0.28,0.03
140,1,1,0.29,0.03
141,1,1,0.28,0.12
142,1,1,0.29,0.06
143,1,1,0.29,0.03
144,1,1,0.29,0.03
145,1,1,0.28,0.03
146,1,2,0.28,0.03
147,1,2,0.28,0.03
148,1,1,0.3,0.03
149,1,1,0.29,0.03
150,1,1,0.29,0.03
151,1,1,0.28,0.03
152,1,1,0.29,0.03
153,1,1,0.28,0.06
154,1,1,0.28,0.06
155,1,1,0.28,0.03
156,1,1,0.29,0.06
157,1,1,0.28,0.03
158,1,1,0.29,0.12
159,1,1,0.3,0.03
160,1,1,0.3,0.06
161,1,1,0.29,0.09
162,1,1,0.29,0.06
163,1,1,0.29,0.03
164,1,1,0.29,0.03
165,1,1,0.28,0.03
166,1,2,0.29,0.03
167,1,1,0.27,0.03
168,1,1,0.28,0.03
169,1,2,0.28,0.06
170,1,2,0.3,0.03
171,1,1,0.28,0.12
172,1,1,0.29,0.03
173,1,1,0.29,0.03
174,1,2,0.29,0.03
175,1,1,0.3,0.03
176,1,2,0.06,0.03
177,1,2,0.07,0.06
178,1,2,0.05,0.06
179,1,2,0.05,0.09
180,1,2,0.07,0.06
181,1,2,0.06,0.06
182,1,2,0.07,0.06
183,1,2,0.06,0.06
184,1,2,0.05,0.06
185,1,2,0.06,0.06
186,1,2,0.06,0.06
187,1,1,0.29,0.12
188,1,2,0.05,0.03
189,1,1,0.29,0.06
190,1,2,0.27,0.06
191,1,1,0.28,0.03
192,1,1,0.29,0.03
193,1,1,0.28,0.03
194,1,2,0.28,0.03
195,1,2,0.3,0.03
196,1,1,0.29,0.03
197,1,1,0.29,0.03
198,1,1,0.28,0.03
199,1,1,0.29,0.09
200,1,1,0.29,0.06
201,1,2,0.06,0.06
